feature	covariate	coef	exp(coef)	zscore	p	lower95%	upper95%	q
ABCA13	ABCA13_1	-0.23816125021740708	0.7880756034851983	-0.651407503181266	0.514783468426571	0.38491061407217875	1.6135256709031602	0.9909586573754622
PLEC	PLEC_1	-0.2156937576445607	0.8059820899367361	-0.5877252814572356	0.5567167033697531	0.3925875134755869	1.654681076195728	0.9909586573754622
PLCB1	PLCB1_1	0.004472674669212809	1.0044826920077583	0.011420854017438925	0.9908876750044613	0.466221118402754	2.1641779806111696	0.9909586573754622
PKHD1L1	PKHD1L1_1	0.27476790014151115	1.3162251437425256	0.9448511955426147	0.34473485066055476	0.7443824309209377	2.327363673638395	0.9909586573754622
PKHD1	PKHD1_1	-1.124428366035068	0.3248381027881942	-1.917734836585776	0.05514464211374214	0.10293917365492011	1.0250693616092572	0.9909586573754622
PIK3CA	PIK3CA_1	-0.18837071558006788	0.8283075837820775	-0.8491058052261413	0.39582242042324767	0.5362360298901099	1.279461683116488	0.9909586573754622
PEG3	PEG3_1	-0.3403914373084983	0.7114917638259356	-0.8134622374504874	0.41595308860948743	0.3133188417854223	1.615672160370196	0.9909586573754622
PCLO	PCLO_1	0.007437878679222165	1.007465608406327	0.02881191752372082	0.9770145960171966	0.6074214493122515	1.6709764748524145	0.9909586573754622
PCDH15	PCDH15_1	-0.034857034172895804	0.9657434747031428	-0.1092216544657733	0.9130266852757665	0.5166650044951882	1.8051550827270826	0.9909586573754622
PCDH11X	PCDH11X_1	0.053742324909838234	1.0552126651022624	0.15592362520478784	0.8760932228459546	0.5369769638204366	2.0735969019418894	0.9909586573754622
PCDH10	PCDH10_1	0.1976077195406336	1.2184843124709608	0.5091095628407982	0.6106754291913533	0.569418197132449	2.6074052905486647	0.9909586573754622
PAPPA2	PAPPA2_1	0.02023297893130279	1.0204390531346665	0.06947343318200365	0.9446127787962065	0.5766188234090236	1.8058651901201173	0.9909586573754622
